0..gjSdbqnr.rUSTBI	ILMN_1700306
0..UumuKCCspSt6kq0	ILMN_1893536
0..VCF1vg_RRSc.w40	ILMN_1853681
0._I6Iu6nqLqkouxKI	ILMN_1881644
0.c4xe3uP9onqr1XFU	ILMN_1714710
0.cj6oyogKilSgrdV4	ILMN_1767800
0.D1yhJGVn_V_F6cqI	ILMN_1730175
0.jegHCHIgt8Ijh90g	ILMN_1652646
0.n3oBKElqlu9eQSSE	ILMN_1672307
0.pyxP5e30AcI8QJTg	ILMN_1718727
0.q6kS14REk6fqH7qE	ILMN_1837766
0.QdfuGhlOS.ieEjvk	ILMN_1903696
0.r4kfepqhd6I6ToE4	ILMN_1889643
0.RKVM9eF1Sr9UcIeU	ILMN_1835610
0.SUV.WLXlpX0Fge2w	ILMN_1823218
0.Te7U3skS5cETJKT0	ILMN_1906528
0.TuhAd32nTsxfY8TA	ILMN_1793146
0.X15L1SV2iVU1fN8U	ILMN_1692368
00.1PnCpTpDtQqlxL4	ILMN_1916106
00.5NXDiBd.oq5e5qU	ILMN_1859973
0013lO9sqSfeCoIEKU	ILMN_1735042
006KJF4H96EIXelheo	ILMN_1797786
006Liunnh6nLV9UqIM	ILMN_1895079
009MP8fUjMNP.KP6uY	ILMN_1913897
00bNOEUOIiEKKAk1rg	ILMN_1688790
00buPhOysV5Rpc5VF4	ILMN_1651767
00Bz3dWp8El2SVLRpc	ILMN_1812702
00CpxY9XvTXkeCROOE	ILMN_1741224
00dHoNunVACOfw_7rk	ILMN_1663099
00dUVEh0T.M3X0qldU	ILMN_1831907
00eFeHnqddY606kEFA	ILMN_1887823
00g6Loa0X10ffPnDdQ	ILMN_1777322
00gUiSWokl4nqv99RM	ILMN_1770385
00hEykdEipKhWuOoIs	ILMN_1881056
00hZJT3oWokKJO38Xo	ILMN_1720162
00iC5OutoN7rzSqJCk	ILMN_1828659
00iSA6pfpKDMkQKglw	ILMN_1783075
00J1Lf61s7pu1npjHk	ILMN_1681576
00jpfjM6gw2_SirKoA	ILMN_1661968
00K3OeGXV631V5_6eA	ILMN_1752967
00KDWcAhTklGiVKCUU	ILMN_1849468
00kISSCSgiJaWghHxU	ILMN_1657816
00n06eXSvbrBSgxLVA	ILMN_1663846
00nHeBI8cKU3XTdwqI	ILMN_1668507
00oqlCBSqlNAJNqP6Q	ILMN_1690922
00oy974KnwXq1XB62U	ILMN_1676602
00pEqV6igq4IA9RfWA	ILMN_1723685
00R.ckilG1UDr9KoUo	ILMN_1881975
00s.Qh4rh3iEgholLo	ILMN_1771643
00s7kqCF66jfRzqlAk	ILMN_1837411
00Tc6eMnkdH3z93tzo	ILMN_1806781
00uan3enjEdlOhfnNU	ILMN_1877257
00uHSC6AkVLiFyLqi0	ILMN_1901929
00uJrpKM8OIdIl6G50	ILMN_1871801
00VIiurwh68IWSLSFk	ILMN_1906980
00W310Z3_qIJ0OoSFU	ILMN_1681857
00YEtQgO7Up5igoti4	ILMN_1735157
00ygAQPKEwBwDwQD08	ILMN_1904232
01.3t3kBX0tqX06Lnk	ILMN_1668271
01.hTeR.P6CgkqntRU	ILMN_1685929
0106ep0.a1f3X61SF8	ILMN_1658472
0116csjnjpXq4U1C6c	ILMN_1845076
0116E.6qdtJOhJi0lM	ILMN_1740339
012ie0dpZ5X3WRXqPM	ILMN_1795511
012RuCR9VN5N9oR1Ck	ILMN_1719864
013dKBOokuN.6qlE6E	ILMN_1875684
013fU6Nh3VdyDefk8w	ILMN_1702321
016sXNQ5AfbyT0ihS4	ILMN_1885518
017caWUrg25QhlH9Eg	ILMN_1825376
018jRX7Du8atT.16DY	ILMN_1661650
019EaQ7_qAcJUnt7uk	ILMN_1768433
019V11e_VMdJN2jgKk	ILMN_1694509
01_dSVXiV6X_lDikqc	ILMN_1652890
01_iIjuJFCnq.s7rqo	ILMN_1661596
01Bxeih9poqa9O9Oig	ILMN_1765923
01BXNAw4H3SIpN6rXo	ILMN_1683494
01CjSV4iSvrh.iipLU	ILMN_1716259
01e9xHqhJIP91W31X0	ILMN_1681438
01eGKp3tdMfXmifPts	ILMN_1768952
01eq1_jTfdUIS6tKng	ILMN_1834075
01F4oa7_ivl.6FxR.k	ILMN_1745817
01F5l3RdLvvPvTzp7k	ILMN_1728121
01IkVC9SAgpOTRyUSw	ILMN_1750250
01JIFJ9FVIhBRBJUog	ILMN_1705977
01kOAIQiAne53VKm1k	ILMN_1901023
01Kwhd4ywHEfrrnFOI	ILMN_1664136
01mSiNFBelhJeSdiCg	ILMN_1670274
01MZ9P1q31ve7nkqfk	ILMN_1748235
01NdtFiuqdphipdxF4	ILMN_1664008
01nqG0MoB6oPHuz_d0	ILMN_1660797
01Q9wU2ppjvkwMCFZo	ILMN_1889525
01R_Ikl3F4VXoUSIlE	ILMN_1754562
01R_SNSpP0itIiKKik	ILMN_1902604
01ROk9LTbN58t13bW4	ILMN_1819003
01SF9LhO_LIHnkLITU	ILMN_1902017
01SPxdeqip6HkKUe08	ILMN_1803357
01SqMCHwpCr8tQi_xI	ILMN_1869761
01STVdFQEdfXpc3aHg	ILMN_1727574
01Tv.FeVeX48h1yRek	ILMN_1714602
01U3U31EEhL_BJZFHU	ILMN_1889989
01UhJSClf5y.frH0ug	ILMN_1658631
01UUx0HlQEnqKeR33k	ILMN_1878154
01VffJVPxVv7oKR52c	ILMN_1663015
01VInuuSepAnQXkpgg	ILMN_1675376
01Xd110F6gx9ITdQHQ	ILMN_1730223
01YintXoV6ek6AxLqA	ILMN_1806432
01Z9Im2lUSFyOpCMUA	ILMN_1824432
01ZKfb_XUgX1bePvXU	ILMN_1676003
02.s3vpcuhJ7l65F3o	ILMN_1734007
026KI4KS6ERJOiA19k	ILMN_1746376
02ed7lfr7.uute21ds	ILMN_1659270
02iM.yq7ooqgqKDqUU	ILMN_1717815
02K3SKpJSNpaiVPq_0	ILMN_1665996
02KG50KOEI6l0L36kU	ILMN_1809601
02orvp2pd9m6WuGX6c	ILMN_1737978
02tiuhr_lsCu6c8E64	ILMN_1722900
030QKXgnb0f5qrU6yo	ILMN_1765633
033EV_UdAuK3igpSTU	ILMN_1893784
0377gjr6eNCOEeLBX0	ILMN_1757162
03_uEdXP1cFUG6SLaU	ILMN_1904079
03APwAO9yywIIwOXzc	ILMN_1685531
03BC50iK6CFO3nAiAo	ILMN_1809439
03e0oyS6Ir9uUuUnUU	ILMN_1660412
03fdpAuAgmuCulPjkg	ILMN_1763999
03FVHFl.P3c.V_X00U	ILMN_1761049
03gq1yNJ7X5KutJKSg	ILMN_1752917
03JNI0NUINTSQXSFBU	ILMN_1737426
03jx1ZLMgC8D5ytAuc	ILMN_1821309
03kIj3koHq7kRrvslI	ILMN_1664776
03lUkfpEkoSCSI3gVE	ILMN_1739744
03lxLuepXquROBCu.o	ILMN_1880727
03n80MLsvsO0DQwjPQ	ILMN_1714749
03nx4AQoheq6u6_qt8	ILMN_1685096
03o4XlyS.VTiMig7cY	ILMN_1767441
03o84Lopc2WSEUQSSU	ILMN_1808923
03PBGkfIRue9RfV254	ILMN_1739756
03pfnDpBIICp9.m61U	ILMN_1745256
03pNFQIgoT3XXQUwxQ	ILMN_1902583
03qk_6e7zHoA5KJk_M	ILMN_1820568
03QldTaVRSN1Pf5Tio	ILMN_1681855
03qtwOnM97lOqPyinU	ILMN_1763537
03R97ulYop6vDnqfrE	ILMN_1693998
03R_lOnujoE38ALd1w	ILMN_1682518
03rkgW19TIgcKJSZdU	ILMN_1875306
03S0ZhZciV4nnPzlm8	ILMN_1865632
03SuhAuX84AHzJxFOc	ILMN_1877636
03tcIuierhIkrkJaX8	ILMN_1848913
03tSCXVYVVCc.nRPBA	ILMN_1791232
03TW4WIBonkuopqE54	ILMN_1654413
03TY7nt3ouMICpxN1Y	ILMN_1814701
03U10RfeX_151f8JSs	ILMN_1813379
03uohH6gQBIRXqDkvk	ILMN_1751039
03V9_i_eopSq7nkuwQ	ILMN_1824300
03vIIqPgaLqutSs0kk	ILMN_1874126
03vqr_q1q3VFJR59dc	ILMN_1746679
03VX3fkcosLibZyCTU	ILMN_1906059
03XiJYAiklJJC99WaQ	ILMN_1720976
03XqohKq9x0DAHjlxE	ILMN_1709690
03XUD6iwQJCpUCSlFE	ILMN_1849892
04.BQghp5olySHSl7o	ILMN_1806908
047iTddfNXY5en67ek	ILMN_1735472
047MyRElV1lXWt7ZQw	ILMN_1695621
047Z15XeWq1oJhN0oo	ILMN_1770064
04AK8u.qpaqKHhZ9MI	ILMN_1786034
04cKUX5JZ.UqUUKnec	ILMN_1657237
04FOtKo8iCQSJHnXCk	ILMN_1856533
04gEeVTXU5XgV4shJU	ILMN_1716421
04I6aGCKWJKIr4vmmA	ILMN_1714412
04iEjiinCogId6oLtU	ILMN_1875080
04iOXuHv6niqBTyCUI	ILMN_1845859
04jcQvhWQopUosop5I	ILMN_1753913
04jsBagaoKp4qiAoTo	ILMN_1701110
04kiJKIAUOlS9CS0ro	ILMN_1872104
04lUBR50q1PXRzCOCU	ILMN_1791777
04mOpUlYqoY3id5Leg	ILMN_1796141
04N3oSJ654m7mTVn4k	ILMN_1749755
04NHKqZ0oRCokdIFFI	ILMN_1723515
04odP1dbLSl3q3yjDI	ILMN_1901689
04oqKPOjyn3odOvbjk	ILMN_1771537
04p6rXpm6_kikiEwhs	ILMN_1651787
04pjTAEdogXTkQEho0	ILMN_1896935
04pWmN7vwRtdSuTOOQ	ILMN_1886210
04qkX6fWXucn_U7Teg	ILMN_1653828
04RHJEN76P9yycSRTo	ILMN_1826173
04SeRV_BXH97lCVKo4	ILMN_1872971
04TlFWDp0f0eKOe13g	ILMN_1693311
04Xve6AUdBd.XSU1_0	ILMN_1668868
05.5766n_IAEYelqdU	ILMN_1828491
05.K._ASVaYZdz6d2k	ILMN_1773964
05.sj9U857RQdVJcJU	ILMN_1912417
050qegOSBeoJR6X7XQ	ILMN_1854748
051TZyUTd4OR_qCMtU	ILMN_1851107
053kGeaamk6jBmlOuY	ILMN_1651478
053TTd3VN_T6K9yTqQ	ILMN_1883150
054wH1eHoMN0w5zMlE	ILMN_1893409
055155VOJ7lC7lSp5M	ILMN_1691156
055eJRRKZRK1RbRIdQ	ILMN_1679960
055Pcyv_o739f.T63Q	ILMN_1875037
0573u7l5XqrjtIr7Co	ILMN_1752462
0576touUtHn_gt7veo	ILMN_1865764
057erlKloGKy6U3TFw	ILMN_1741540
059InTmbxUY6ThyRIk	ILMN_1735500
05_ddd1VJX1XW4XFR0	ILMN_1664118
05_mmLAELVYpN0kayQ	ILMN_1848823
05_OqE5VEeSiS5Eie4	ILMN_1664631
05a52iCJku.5C56Ldc	ILMN_1781416
05AoeJyqchME6UoQLI	ILMN_1899392
05At19oFYHkJ4mXlSM	ILMN_1786631
05AvqnH2vSqi0oKWIs	ILMN_1898582
05B2nveh3ju7oqOqDI	ILMN_1682738
05bPfrt6JLl4Xumrnw	ILMN_1863962
05cAenH3qh3ynnulCE	ILMN_1894309
05cVJHFUBVS9QFYh9I	ILMN_1726879
05dUFJL1JU0fnSoVXA	ILMN_1780630
05E9zsVdY.uCXEoDeo	ILMN_1656395
05ESosClC4qRKiCkqk	ILMN_1868098
05f7OpNNfM_3kKJHSg	ILMN_1693655
05FXV3qNJIcSm7Xa7Q	ILMN_1815056
05GRvqiC2lfqN.d_LQ	ILMN_1694530
05HAkgRgfJ_lz3Ky9Q	ILMN_1778764
05II_KL2aI66JqKCKE	ILMN_1670833
05IpKH6g3gOIUlqJ7g	ILMN_1781150
05J7B50ZQDp46op558	ILMN_1795991
05JEVRJQsimAkunTXE	ILMN_1666314
05JHq_iIqRqL636e9M	ILMN_1671225
05JpiTQEKSffpt6l7g	ILMN_1839762
05JQIK41IUvtAo4Hgk	ILMN_1715695
05JSEoAeI67iSAqego	ILMN_1842836
05JVA0ZYNewdJG9KfM	ILMN_1779475
05KENUlBBK6JIJFNkU	ILMN_1876331
05knr04HPp5NefK5UU	ILMN_1732537
05kvUcEUpRFeWhB1J4	ILMN_1682407
05l456hJVnVI7AgZh8	ILMN_1690957
05L59LFTDs9_t1XEkg	ILMN_1652913
05LL00qlsTn7luJhpQ	ILMN_1741380
05LQOoq1K7W76KnqN8	ILMN_1715411
05N2qIiE9Jcw4OgApU	ILMN_1769246
05N5KlT1KnpIiek.Hc	ILMN_1845094
05P_F70u3t9SRruxH0	ILMN_1748844
05QqyquERKosoAJeJs	ILMN_1917189
05QTLU5TXgjGRZ46ik	ILMN_1748349
05RSFBFVIfVRfSUU0g	ILMN_1784477
05RUOzJQPsbnwAEuWI	ILMN_1767633
05Tpl.rWQjP30Rn1QE	ILMN_1770044
05UqSufN4XwS53TTro	ILMN_1722981
05Vg0irqhQGMTpV4LE	ILMN_1786544
05VLSnQle6_ygwJe40	ILMN_1714197
05Vyh979FIkoNC64pE	ILMN_1813270
05X437X.zovBqighV0	ILMN_1770676
05yB5TSXqFeBB7OAUo	ILMN_1887819
05zrV1ktKVU_XqeSUg	ILMN_1698578
